City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,northam,51.0333,-4.2167,7.52,82,28,5.59,GB,1734196304
222,kendari,-3.945,122.4989,24.29,96,96,1.02,ID,1734196305
223,carthage,36.8611,10.3316,15.74,77,20,4.12,TN,1734196308
224,kayangel,8.0823,134.7173,26.08,91,99,7.01,PW,1734196309
225,berezovyy,51.6667,135.7,-28.14,94,30,1.68,RU,1734196310
226,polonnaruwa,7.9333,81.0,23.37,94,63,1.46,LK,1734196311
227,karasburg,-28.0167,18.75,33.84,9,0,4.33,NA,1734196314
228,poronaysk,49.2167,143.1167,-18.49,96,85,2.19,RU,1734196315
229,karachayevsk,43.774,41.9142,-10.79,81,32,2.53,RU,1734196316
230,motala,58.5371,15.0365,2.05,84,46,5.48,SE,1734196317
231,zhezqazghan,47.7833,67.7667,-0.47,98,100,6.8,KZ,1734196319
232,malango,-2.9627,119.9001,20.17,97,100,0.8,ID,1734196320
233,ironwood,46.4547,-90.171,-4.55,68,75,4.63,US,1734196322
234,ulsteinvik,62.3432,5.8487,5.42,84,100,1.34,NO,1734196323
235,boa vista,2.8197,-60.6733,32.99,46,75,4.12,BR,1734196324
236,mount isa,-20.7333,139.5,26.87,47,11,2.06,AU,1734196172
237,hithadhoo,-0.6,73.0833,27.87,82,70,6.51,MV,1734196326
238,mokhsogollokh,61.4681,128.9203,-27.6,95,100,2.8,RU,1734196327
239,mega,4.05,38.3,21.25,37,39,3.14,ET,1734196328
240,kayyerkan,69.3786,87.7439,-13.52,91,100,5.36,RU,1734196329
241,abepura,-2.6333,140.5833,25.45,94,20,0.51,ID,1734196330
242,sanya,18.2431,109.505,17.83,65,100,2.24,CN,1734196332
243,koidu,8.4167,-10.8333,35.4,13,18,1.69,SL,1734196333
244,zeya,53.75,127.2667,-22.82,95,88,1.66,RU,1734196334
245,mossel bay,-34.1831,22.146,19.96,63,0,6.54,ZA,1734196335
246,bomdila,27.25,92.4,-1.39,75,20,3.56,IN,1734196336
247,happy valley-goose bay,53.3168,-60.3315,-2.89,54,100,7.48,CA,1734196161
248,smara,26.7384,-11.6719,26.98,16,78,4.97,EH,1734196338
249,arraial do cabo,-22.9661,-42.0278,27.92,69,75,8.75,BR,1734196231
250,elena,42.9333,25.8833,2.62,87,100,2.5,BG,1734196341
251,puerto aysen,-45.4,-72.7,16.6,73,67,2.04,CL,1734196233
252,uliastay,47.7417,96.8444,-18.45,60,1,3.32,MN,1734196048
253,khandyga,62.6667,135.6,-38.29,100,91,0.98,RU,1734196344
254,archangelos,36.2149,28.1149,12.39,64,3,0.2,GR,1734196346
255,st. john's,47.5649,-52.7093,1.1,61,27,4.47,CA,1734196216
256,fort-shevchenko,44.5086,50.263,-0.05,57,100,12.59,KZ,1734196348
257,soto la marina,23.7667,-98.2167,27.8,59,27,3.6,MX,1734196349
258,yuzhno-kurilsk,44.0306,145.8556,-2.91,66,92,7.14,RU,1734196350
259,vilyuysk,63.7553,121.6247,-26.2,98,100,2.65,RU,1734196351
260,vila franca do campo,37.7167,-25.4333,18.27,99,26,7.28,PT,1734196352
261,tromso,69.6496,18.957,-3.99,63,100,7.72,NO,1734196355
262,tahe,52.3333,124.7333,-15.81,75,57,4.84,CN,1734196356
263,kachkanar,58.7,59.4948,-12.58,88,99,3.48,RU,1734196274
264,sarmanovo,55.2553,52.5891,-12.9,93,100,6.82,RU,1734196358
265,bredasdorp,-34.5322,20.0403,20.05,53,0,4.71,ZA,1734196359
266,orchard homes,46.8633,-114.0484,2.18,83,75,2.24,US,1734196360
267,bosansko grahovo,44.1794,16.3639,2.49,97,100,1.49,BA,1734196361
268,edeia,-17.3383,-49.9314,32.44,45,93,4.04,BR,1734196363
269,jayapura,-2.5333,140.7,25.66,91,94,2.02,ID,1734196345
270,cananeia,-25.0147,-47.9267,24.7,81,100,3.51,BR,1734196159
271,rongelap,11.1635,166.8941,27.41,76,39,10.58,MH,1734196367
272,san patricio,28.017,-97.5169,24.97,80,100,5.41,US,1734196368
273,pierre,44.3683,-100.351,-2.49,86,100,3.6,US,1734196251
274,novodvinsk,64.4165,40.8122,-19.14,95,45,1.48,RU,1734196371
275,seichamps,48.7111,6.2619,0.63,91,75,0.89,FR,1734196372
276,sitka,57.0531,-135.33,-1.06,86,0,0.0,US,1734196373
277,yovon,38.3141,69.0378,10.67,49,100,2.13,TJ,1734196374
278,portland,45.5234,-122.6762,10.0,89,75,6.26,US,1734196252
279,wailua homesteads,22.0669,-159.378,23.44,83,100,7.2,US,1734196376
280,argostolion,38.1811,20.489,14.86,55,95,8.0,GR,1734196377
281,vadso,70.0744,29.7487,-10.91,85,20,6.17,NO,1734196379
282,weno,7.4515,151.8468,25.97,89,100,3.6,FM,1734196380
283,giyani,-23.3025,30.7187,23.76,66,93,6.49,ZA,1734196345
284,manismata,-2.4667,111.0333,23.99,96,100,0.54,ID,1734196382
285,tuzha,57.6062,47.936,-14.19,92,100,3.9,RU,1734196383
286,dwarka,22.2394,68.9678,22.47,45,2,7.33,IN,1734196384
287,paraparaumu,-40.9167,175.0167,16.64,98,100,4.05,NZ,1734196385
288,praia,14.9215,-23.5087,30.3,28,0,4.12,CV,1734196386
289,chudovo,59.1167,31.6833,-1.34,97,100,4.26,RU,1734196388
290,tura,25.5198,90.2201,14.71,79,0,1.7,IN,1734196389
291,mazagao,-0.115,-51.2894,31.07,58,99,3.08,BR,1734196390
292,nabire,-3.3667,135.4833,24.59,98,100,1.12,ID,1734196391
293,quartu sant'elena,39.2419,9.1839,13.91,76,20,2.57,IT,1734196392
294,la'ie,21.6477,-157.9253,23.39,79,39,2.68,US,1734196393
295,la mira,18.035,-102.3266,28.17,66,97,2.31,MX,1734196394
296,dombovar,46.3766,18.137,1.26,100,100,1.23,HU,1734196396
297,labytnangi,66.6572,66.4183,-13.55,95,100,6.23,RU,1734196397
298,newman,37.3138,-121.0208,12.25,83,97,4.02,US,1734196398
299,pokrovsk,48.282,37.1758,-6.61,75,15,4.63,UA,1734196399
300,isangel,-19.55,169.2667,25.28,89,75,2.71,VU,1734196400
301,south grafton,-29.7,152.95,21.37,98,10,0.63,AU,1734196401
302,lyantor,61.6195,72.1555,-6.89,90,100,7.97,RU,1734196262
303,saint-joseph,-21.3667,55.6167,24.21,74,65,4.14,RE,1734196404
304,ilulissat,69.2167,-51.1,-6.99,73,75,2.06,GL,1734196405
305,al kawa,13.7463,32.4996,28.27,30,0,4.63,SD,1734196406
306,anloga,5.7947,0.8973,28.77,70,6,5.09,GH,1734196407
307,jianshui,23.6363,102.8264,7.74,75,93,2.72,CN,1734196409
308,gigante,2.3868,-75.5453,28.31,57,53,2.81,CO,1734196410
309,lospalos,-8.5186,127.0025,23.7,93,100,0.63,TL,1734196411
310,hammerfest,70.6634,23.6821,-8.75,57,0,4.63,NO,1734196412
311,ancud,-41.8697,-73.8203,16.54,61,0,4.21,CL,1734196413
312,coquimbo,-29.9533,-71.3436,19.43,56,100,5.66,CL,1734196396
313,kununurra,-15.7667,128.7333,26.99,94,48,2.06,AU,1734196415
314,segezha,63.7415,34.3222,-10.95,80,80,1.27,RU,1734196416
315,itaituba,-4.2761,-55.9836,23.98,95,100,0.33,BR,1734196418
